Order,State,"18+
Estimate","18-25
Estimate","26+
Estimate"
1,Northeast,21.07%,33.23%,19.29%
2,Midwest,23.37%,35.04%,21.55%
3,South,22.50%,32.54%,20.98%
4,West,23.95%,34.58%,22.34%
